詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
1,主詞目,一(替),tsi̍t,"性質、程度,數詞、量詞",1(1),,,,,,,,一,,,"1. (數詞) 數目。
2. (形容詞) 全部的、整個的。
3. (副詞) 表示時間短、數量少、程度輕等。","1. 數詞
2. 形容詞
3. 副詞","1. 一蕊花 (tsi̍t luí hue)
2. 紅嬰仔哭甲一身軀汗。 (Âng-enn-á khàu kah tsi̍t sin-khu kuānn.)
3-1. 一睏仔 (tsi̍t-khùn-á)
3-2. 一絲仔 (tsi̍t-si-á)","1. 一朵花
2. 小嬰兒哭得滿身大汗。
3-1. 一下子
3-2. 一點點","1. 1-1-1
2. 1-2-1
3-1. 1-3-1
3-2. 1-3-2",2. 全/規/透,,,
2,主詞目,一,it,"性質、程度,數詞、量詞",2(1),,,,,,,,一,,,"1. (數詞) 數字。
2. (形容詞) 極、最、第一的。
3. (形容詞) 相同的。
4. (副詞) 整個地、全部地。","1. 數詞
2. 形容詞
3. 形容詞
4. 副詞","2. 一流 (it-liû)
3. 𪜶兩个生做一模一樣。 (In nn̄g ê senn-tsò it-bôo-it-iūnn.)
4-1. 一生 (it-sing)
4-2. 一向 (it-hiòng)","2. 一流
3. 他們兩個長得一模一樣。
4-1. 一生
4-2. 一向","2. 2-2-1
3. 2-3-1
4-1. 2-4-1
4-2. 2-4-2",1. 么,,,
3,主詞目,一刀兩斷,it-to-lióng-tuān,交際應酬,3(1),,,,,,,,,,,1. (熟語) 一刀斬成兩段，比喻斷絕關係。,1. 熟語,"1. 𪜶兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。 (In nn̄g hiann-tī-á uī-tio̍h piànn-sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì.)",1. 他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。,1. 3-1-1,,,,
4,主詞目,一下,tsi̍t-ē,"性質、程度,助詞、嘆詞,副詞",4(1),,,,,,,,,,,"1. 動詞後綴。表示極短的時間或是短時間的動作。
2. (副詞) 表示兩個動作間的連續狀況，相當於華語「一……就……」。
3. (助詞) 連接動詞及補語，相當於華語「得」。","2. 副詞
3. 助詞","1. 小等一下。 (Sió-tán--tsi̍t-ē.)
2. 老母一下死，囡仔就大聲吼。 (Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu.)
3. 氣一下袂講話。 (Khì tsi̍t-ē bē kóng-uē.)","1. 稍等一會兒。
2. 媽媽一死，小孩子就大聲的哭。
3. 氣得說不出話來。","1. 4-1-1
2. 4-2-1
3. 4-3-1",1. 一下仔,,1. 一下仔,
5,主詞目,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,時間節令,5(1),,,,,,,,,,,1. (時間詞) 一個月。,1. 時間詞,1. 你一月日趁偌濟錢？ (Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn?),1. 你一個月賺多少錢？,1. 5-1-1,,,1. 一個月,
6,主詞目,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,時間節令,6(1),,,,,,,,,,,1. (熟語) 一天到晚、從早到晚，整天。,1. 熟語,1. 你毋好一日到暗拋拋走。 (Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu.),1. 你不要一天到晚四處亂跑。,1. 6-1-1,1. 規工,,1. 規日,
7,主詞目,一世人,tsi̍t-sì-lâng,"時間節令,生養老死",7(1),,,,,,,,一世人,,,1. (名詞) 一輩子。,1. 名詞,1. 我一世人毋捌做過對不起別人的代誌。 (Guá tsi̍t-sì-lâng m̄ bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì.),1. 我一輩子不曾做過對不起他人的事。,1. 7-1-1,1. 一生/規世人/透世人,,,
8,主詞目,一半,tsi̍t-puànn,"性質、程度,數詞、量詞",8(1),,,,,,,,,,,"1. (名詞) 二分之一。
2. (形容詞) 表示次數很少。","1. 名詞
2. 形容詞","1. 買果子的錢，一人愛出一半。 (Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn.)
2. 塗跤一半擺仔無拭，袂偌垃圾啦！ (Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah!)","1. 買水果的錢，一人要出一半。
2. 地板一兩次沒擦，不會多髒啦！","1. 8-1-1
2. 8-2-1",,,,
9,主詞目,一半个仔,tsi̍t-puànn-ê-á,數詞、量詞,9(1),,,,,,,,,,,1. (名詞) 幾個、一兩個、少數幾個。,1. 名詞,1. 有一半个仔人客真𠢕嫌東嫌西。 (Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai.),1. 有一兩個客人很會嫌東嫌西。,1. 9-1-1,,,,
10,主詞目,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,時間節令,10(1),,,,,,,,,,,1. (熟語) 一兩天。,1. 熟語,"1. 頭家人真好，我一半日仔無去，伊嘛袂按怎。 (Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn.)",1. 老闆人真好，我一兩天沒去，他也不會怎樣。,1. 10-1-1,,,,
11,主詞目,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,空間方位,11(1),,,,,,,,,,,1. (副詞) 遍地、到處。,1. 副詞,1. 物件毋通掖甲一四界。 (Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè.),1. 東西不要撒得滿地都是。,1. 11-1-1,1. 大四界/滿四界/滿滿是/規山坪/規山坪,,,
12,主詞目,一旦,it-tàn,"事、物泛稱,副詞",12(1),,,,,,,,,,,"1. (副詞) 假使有一天。
2. (名詞) 短暫的時間。","1. 副詞
2. 名詞","1. 一旦地動，彼間厝就會倒。 (It-tàn tē-tāng, hit king tshù tō ē tó.)
2. 毀於一旦 (huí î it-tàn)","1. 一旦地震，那間房子就會倒。
2. 毀於一旦","1. 12-1-1
2. 12-2-1",,,,
13,主詞目,一生,it-sing,"時間節令,生養老死",13(1),,,,,,,,,,,1. (名詞) 畢生、一輩子。,1. 名詞,"1. 你毋通放蕩過一生。 (Lí m̄-thang hòng-tōng kuè it-sing.)
2. 做教授是我一生的願望。 (Tsò kàu-siū sī guá it-sing ê guān-bōng.)","1. 你不要放蕩過一生。
2. 當教授是我一生的願望。","1. 13-1-1
2. 13-1-2",1. 一世人/規世人/透世人,,,
14,主詞目,一目𥍉仔,tsi̍t-ba̍k-nih-á,時間節令,14(1),,,,,,,,,,,1. (時間詞) 一瞬間、一眨眼。指很短暫的時間。,1. 時間詞,"1. 對阮厝到公司，行路一目𥍉仔就到矣。 (Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah.)
2. 一目𥍉仔大學四年就過去矣。 (Tsi̍t-ba̍k-nih-á tāi-ha̍k sì nî tō kuè--khì--ah.)","1. 從我家裡到公司，走路只要一眨眼的時間就可以到了。
2. 一轉眼大學四年就過去了。","1. 14-1-1
2. 14-1-2",1. 一睏仔/一霎仔久/一下仔,1. 規半晡,1. 一目𥍉,
15,主詞目,一甲子,tsi̍t kah-tsí,"時間節令,生養老死",15(1),,,,,,,,,,,1. (時間詞) 六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。,1. 時間詞,,,,,,,
16,主詞目,一百空一,tsi̍t-pah khòng-it,數詞、量詞,16(1),,,,,,,,,,,1. (數詞) 一百零一。,1. 數詞,,,,,,,
17,主詞目,一來,it--lâi,副詞,17(1),,,,,,,,,,,1. (副詞) 首先。,1. 副詞,"1. 一來我無時間，二來我無興趣，所以我無欲參加。 (It--lâi guá bô sî-kan, jī--lâi guá bô hìng-tshù, sóo-í guá bô beh tsham-ka.)",1. 一來我沒時間，二來我沒興趣，所以我沒有要參加。,1. 17-1-1,,,1. 首先,
18,主詞目,一定,it-tīng,"時間節令,境況、狀態-擬事,副詞",18(1),,,,,,,,,,,"1. (副詞) 必定、必然。
2. (形容詞) 固定的。","1. 副詞
2. 形容詞","1. 你講過的話，一定愛會記得。 (Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit.)
2. 伊食飯攏無一定的時間。 (I tsia̍h-pn̄g lóng bô it-tīng ê sî-kan.)","1. 你說過的話一定要記得。
2. 他吃飯時間不固定。","1. 18-1-1
2. 18-2-1","1. 必然/定著/絕對/穩當/定規
2. 有時有陣/固定","1. 凡勢/可能/無一定/無定著/無的確/檢采/無定
2. 無時無陣",2. 定時,2. 無時陣
19,主詞目,一直,it-ti̍t,副詞,19(1),,,,,,,,,,,"1. (副詞) 朝同一個方向直行而去。
2. (副詞) 持續不間斷。","1. 副詞
2. 副詞","1. 一直向前行，毋免轉斡。 (It-ti̍t hiòng-tsiân kiânn, m̄-bián tńg-uat.)
2. 阿美一直咧掃塗跤，攏無歇睏。 (A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn.)","1. 一直向前走過去，不用轉彎。
2. 阿美一直在掃地，都沒有休息。","1. 19-1-1
2. 19-2-1","1. 直直
2. 直/直直/硞硞",,,
20,主詞目,一律,it-lu̍t,副詞,20(1),,,,,,,,,,,1. (副詞) 全部都一樣。,1. 副詞,1. 伊對伊的學生一律攏真嚴格。 (I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh.),1. 他對他的學生一律都很嚴格。,1. 20-1-1,1. 一概,,,
21,主詞目,一致,it-tì,性質、程度,21(1),,,,,,,,,,,1. (形容詞) 趨向相同。,1. 形容詞,1. 伊佮我的看法並無一致。 (I kah guá ê khuànn-huat pīng bô it-tì.),1. 他跟我的看法並不一致。,1. 21-1-1,1. 仝款/相仝,,,
22,主詞目,一面,tsi̍t-bīn,副詞,22(1),,,,,,,,,,,"1. (副詞) 描述兩種以上的事情同時進行著。
2. (形容詞) 片面的，單方面的。","1. 副詞
2. 形容詞","1. 伊一面做工，一面讀冊。 (I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh.)
2. 一面抹壁雙面光。 (Tsi̍t-bīn buah-piah siang-bīn kng.)","1. 他一邊工作，一邊讀書。
2. 用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。","1. 22-1-1
2. 22-2-1",,,,
23,主詞目,一垺屎,tsi̍t-pû-sái,廢棄物,23(1),,,,,,,,,,,1. (名詞) 一坨屎、一坨大便。,1. 名詞,,,,1. 一礐屎/屎,,,
24,主詞目,一屑仔,tsi̍t-sut-á,性質、程度,24(1),,,,,,,,,,,1. (形容詞) 一點點。形容體積很小或數量很少。,1. 形容詞,1. 伊食一屑仔飯爾爾。 (I tsia̍h tsi̍t-sut-á pn̄g niā-niā.),1. 他吃一點點飯而已。,1. 24-1-1,1. 一寡仔/一點仔/一疕仔/分分仔,,1. 一絲仔,
25,主詞目,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,宗族、家庭,25(1),,,,,,,,,,,1. (名詞) 一家子。全家人、同一家人。,1. 名詞,1. 𪜶一家伙仔對人攏真客氣。 (In tsi̍t-ke-hué-á tuì lâng lóng tsin kheh-khì.),1. 他們一家子對人都很客氣。,1. 25-1-1,1. 規家伙仔,,,
26,主詞目,一般,it-puann,性質、程度,26(1),,,,,,,,,,,1. (形容詞) 普遍性的、平常的。,1. 形容詞,1. 一般人攏真愛面子。 (It-puann lâng lóng tsin ài bīn-tsú.),1. 一般人都很愛面子。,1. 26-1-1,,,,
27,主詞目,一粒一,it-lia̍p-it,性質、程度,27(1),,,,,,,,,,,"1. (形容詞) 最好的、第一流的。
2. (形容詞) 最投契的。","1. 形容詞
2. 形容詞","1. 這擺欲替伊開刀的醫生攏是一粒一的。 (Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê.)
2. 阿英佮我是一粒一的好朋友。 (A-ing kah guá sī it-lia̍p-it ê hó-pîng-iú.)","1. 這次為他開刀的醫生都是最好的。
2. 阿英和我是最要好的朋友。","1. 27-1-1
2. 27-2-1",,,,
28,主詞目,一睏仔,tsi̍t-khùn-á,時間節令,28(1),,,,,,,,,,,"1. (副詞) 一陣子、一會兒。
2. (副詞) 一口氣。","1. 副詞
2. 副詞","1. 伊跤手真緊，穡頭一睏仔就做了矣。 (I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò-liáu--ah.)
2. 遮的物件伊做一睏仔共伊食了。 (Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu.)","1. 他的動作真快，工作一下子就做完了。
2. 這裡的東西他一口氣把它吃完。","1. 28-1-1
2. 28-2-1",1. 一目𥍉仔/一時仔/一下仔,1. 規半晡,1. 一下仔,
29,主詞目,一概,it-khài,性質、程度,29(1),"[{""漢字"": ""一概"", ""羅馬字"": ""it-kài""}]",,,,,,,,,,1. (副詞) 一律、完全。,1. 副詞,1. 眾人的意見伊一概反對。 (Tsìng-lâng ê ì-kiàn i it-khài huán-tuì.),1. 眾人的意見他一概反對。,1. 29-1-1,1. 一律,,1. 一切,
30,主詞目,一路,tsi̍t-lōo,旅行,30(1),,,,,,,,,,,1. (名詞) 沿途、路上。,1. 名詞,1. 祝恁一路平安。 (Tsiok lín tsi̍t-lōo pîng-an.),1. 祝福你們一路平安。,1. 30-1-1,,,,
31,主詞目,一寡,--tsi̍t-kuá,性質、程度,31(1),,,,,,,,,,,1. (形容詞) 一些、少許，也可以單說「寡」(--kuá)。,1. 形容詞,1. 加減食一寡。 (Ke-kiám tsia̍h--tsi̍t-kuá.),1. 多少吃一點。,1. 31-1-1,1. 一點仔,,1. 一絲仔,
32,主詞目,一寡仔,tsi̍t-kuá-á,性質、程度,32(1),,,,,,,,,,,1. (形容詞) 一點點、一些些。,1. 形容詞,1. 猶有一寡仔物件無整理。 (Iáu-ū tsi̍t-kuá-á mi̍h-kiānn bô tsíng-lí.),1. 還有一些東西沒整理。,1. 32-1-1,1. 一屑仔/一點仔/淡薄仔/一疕仔/分分仔,,,
33,主詞目,一對時,tsi̍t tuì-sî,時間節令,33(1),,,,,,,,,,,1. (時間詞) 一晝夜、二十四小時。,1. 時間詞,"1. 藥仔食落去，到今一對時矣。 (Io̍h-á tsia̍h--lo̍h-khì, kàu-tann tsi̍t tuì-sî--ah.)",1. 藥吃下，到現在二十四小時了。,1. 33-1-1,,,,
34,主詞目,一霎仔久,tsi̍t-tiap-á-kú,時間節令,34(1),,,,,,,,,,,1. (副詞) 一瞬間、一下子。形容很短的時間。,1. 副詞,1. 伊來一霎仔久就轉去矣。 (I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah.),1. 他來一下子就回去了。,1. 34-1-1,1. 一目𥍉仔/一下仔,1. 規半晡,1. 一下仔/一目𥍉,
35,主詞目,一點仔,tsi̍t-tiám-á,性質、程度,35(1),,,,,,,,,,,1. (形容詞) 一點兒、一 點點。形容數量極少。,1. 形容詞,1. 你才食一點仔物件哪會飽？ (Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá?),1. 你才吃一點點東西怎麼會飽？,1. 35-1-1,1. 一屑仔/一寡/一寡仔/一疕仔/分分仔,,1. 一絲仔,
36,主詞目,一礐屎,tsi̍t-ha̍k-sái,"廢棄物,境況、狀態-擬人,境況、狀態-擬物",36(1),,,,,,,,,,,"1. (名詞) 一糞坑的大便。
2. (形容詞) 形容一群無用的人或東西。","1. 名詞
2. 形容詞",,,,1. 一垺屎/屎,,,
37,主詞目,一觸久仔,tsi̍t-tak-kú-á,時間節令,37(1),"[{""漢字"": ""一觸久仔"", ""羅馬字"": ""tsi̍t-táu-kú-á""}]",,,,,,,,,,1. (時間詞) 一會兒、一下子。,1. 時間詞,,,,1. 一下仔,1. 規半晡,,
38,主詞目,乙,it,"時間節令,性質、程度",38(1),,,,,,,,,,,"1. (名詞) 天干的第二位。
2. (形容詞) 次序或等級屬於第二的。","1. 名詞
2. 形容詞","1. 甲乙丙丁 (kah it piánn ting)
2. 乙等 (it tíng)","1. 甲乙丙丁
2. 乙等","1. 38-1-1
2. 38-2-1",,,,
39,主詞目,丁,ting,"時間節令,泛稱,宗族、家庭",39(1),,,,,,,,,,,"1. (名詞) 天干的第四位，也指排序或等級為第四。
2. (名詞) 男子。
3. (名詞) 姓氏。","1. 名詞
2. 名詞
3. 名詞","1. 甲乙丙丁 (kah it piánn ting)
2. 出丁 (tshut-ting)","1. 甲乙丙丁
2. 生男孩子","1. 39-1-1
2. 39-2-1",,,,
40,主詞目,七,tshit,數詞、量詞,40(1),,,,,,,,,,,"1. (數詞) 數字。
2. (形容詞) 常和八連用成為詞組，用來表示強調或重複的意思。
3. (名詞) 傳統喪禮儀式中每七天為一旬。一、三、五、七旬為大旬，必須請道士做法會，稱作「做七」(tsò-tshit)或是「做旬」(tsò-sûn)，到七旬結束才算功德圓滿。","1. 數詞
2. 形容詞
3. 名詞","1. 七个人 (tshit ê lâng)
2-1. 七老八老 (tshit-lāu-peh-lāu)
2-2. 七除八扣 (tshit-tû-peh-khàu)","1. 七個人
2-1. 強調很老
2-2. 計算時一再折扣，自總數中盡量減除。","1. 40-1-1
2-1. 40-2-1
2-2. 40-2-2",,,,
41,主詞目,九,káu(白),"性質、程度,數詞、量詞",41(1),,,,,,,,,,,"1. (數詞) 數字。
2. (形容詞) 形容多數。","1. 數詞
2. 形容詞",2. 十喙九尻川。 (Tsa̍p tshuì káu kha-tshng.),2. 形容人多嘴雜。,2. 41-2-1,,,,
42,主詞目,九,kiú(文),"性質、程度,數詞、量詞",42(1),,,,,,,,,,,"1. (數詞) 數字。
2. (形容詞) 形容多數。","1. 數詞
2. 形容詞",1. 三教九流 (sam-kàu-kiú-liû),1. 三教九流,1. 42-1-1,,,,
43,主詞目,了,liáu,"財務單位、活動,一般動詞-靜態動詞,助詞、嘆詞",43(1),,,,,,,,,,,"1. (動詞) 表示動作結束、完畢。或是表示動作的時間狀況。
2. (動詞) 明白。
3. (動詞) 白費。
4. (動詞) 賠錢、損失。
5. (助詞) 用於動詞及補語間，表示動作得到補語的結果。","1. 動詞
2. 動詞
3. 動詞
4. 動詞
5. 助詞","1. 飯食了才食果子。 (Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí.)
2. 了解 (liáu-kái)
3-1. 了力 (liáu-la̍t)
3-2. 了工 (liáu-kang)
4. 了錢生理無人做。 (Liáu-tsînn sing-lí bô lâng tsò.)
5-1. 講了真清楚。 (Kóng liáu tsin tshing-tshó.)
5-2. 洗了無清氣。 (Sé liáu bô tshing-khì.)","1. 飯吃完再吃水果。
2. 了解
3-1. 白費力氣
3-2. 白費功夫
4. 賠錢生意沒人做。
5-1. 說得很清楚。
5-2. 洗得不乾淨。","1. 43-1-1
2. 43-2-1
3-1. 43-3-1
3-2. 43-3-2
4. 43-4-1
5-1. 43-5-1
5-2. 43-5-2","1. 了了/好/完/透/盡
2. 明白/理解
3. 白/枉費
4. 了錢/損失/賠錢",,2. 了解,
44,主詞目,二,jī/lī,數詞、量詞,44(1),,,,,,,,,,,1. (數詞) 數字。,1. 數詞,1. 第二 (tē-jī),1. 第二,1. 44-1-1,,,,
45,主詞目,人,jîn/lîn,泛稱,45(1),,,,,,,,,,,"1. (名詞) 具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。
2. (形容詞) 與人有關的。
3. (名詞) 具有某種身份或特徵的人。","1. 名詞
2. 形容詞
3. 名詞","1. 人類 (jîn-luī)
2-1. 人情 (jîn-tsîng)
2-2. 人事 (jîn-sū)
3-1. 聖人 (sìng-jîn)
3-2. 軍人 (kun-jîn)","1. 人類
2-1. 人情
2-2. 人事
3-1. 聖人
3-2. 軍人","1. 45-1-1
2-1. 45-2-1
2-2. 45-2-2
3-1. 45-3-1
3-2. 45-3-2",,,,
46,主詞目,人(替),lâng,泛稱,46(1),,,,,,,,人,,,"1. (名詞) 具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。
2. (名詞) 人家、別人。
3. (名詞) 具有某種身份或特徵的人。
4. (代詞) 借稱自己。
5. (名詞) 與人有關的事，如人的品格、個性、身體狀況等。","1. 名詞
2. 名詞
3. 名詞
4. 代詞
5. 名詞","1. 做牛著拖，做人著磨。 (Tsò gû tio̍h thua, tsò lâng tio̍h buâ.)
2-1. 莫共人講！ (Mài kā lâng kóng!)
2-2. 予人看無 (hōo lâng khuànn-bô)
3-1. 好人 (hó-lâng)
3-2. 讀冊人 (tha̍k-tsheh-lâng)
3-3. 中人 (tiong-lâng)
4. 人毋管啦！ (Lâng m̄-kuán--lah!)
5-1. 伊人真好。 (I lâng tsin hó.)
5-2. 人無爽快 (lâng bô sóng-khuài)","1. 做牛得要拖犁耕田，做人得受生活的折磨。
2-1. 不要跟別人說！
2-2. 讓別人瞧不起
3-1. 好人
3-2. 讀書人
3-3. 仲介者
4. 我不管啦！
5-1. 他待人很好。
5-2. 身體不舒服","1. 46-1-1
2-1. 46-2-1
2-2. 46-2-2
3-1. 46-3-1
3-2. 46-3-2
3-3. 46-3-3
4. 46-4-1
5-1. 46-5-1
5-2. 46-5-2",,,,
47,主詞目,入,ji̍p/li̍p,"財務單位、活動,一般動詞-行為動詞",47(1),,,,,,,,,,出,"1. (動詞) 進。從外面進到裡面。
2. (動詞) 裝進。
3. (動詞) 收進帳款。","1. 動詞
2. 動詞
3. 動詞","1-1. 入去 (ji̍p--khì)
1-2. 入來 (ji̍p--lâi)
2. 入被 (ji̍p phuē)
3-1. 收入 (siu-ji̍p)
3-2. 入數 (ji̍p siàu)","1-1. 進去
1-2. 進來
2. 把被子裝進被套裡
3-1. 收入
3-2. 入帳","1-1. 47-1-1
1-2. 47-1-2
2. 47-2-1
3-1. 47-3-1
3-2. 47-3-2",,1. 出/退,,
48,主詞目,八,pat(文),數詞、量詞,48(1),,,,,,,,,,,1. (數詞) 數字。,1. 數詞,1. 三八婦女節 (Sam-pat Hū-lí-tseh),1. 三八婦女節,1. 48-1-1,,,,
49,主詞目,八,peh(白)/pueh(白),數詞、量詞,49(1),,,,"鹿港偏泉腔：pueh
三峽偏泉腔：pueh
臺北偏泉腔：pueh
宜蘭偏漳腔：peh
臺南混合腔：peh
高雄混合腔：peh
金門偏泉腔：pueh
馬公偏泉腔：pueh
新竹偏泉腔：pueh
臺中偏漳腔：peh",,,,,,,1. (數詞) 數字。,1. 數詞,1. 八个人 (peh ê lâng),1. 八個人,1. 49-1-1,,,,
50,主詞目,刀,to,"生活用品,數詞、量詞",50(1),,,,"鹿港偏泉腔：to
三峽偏泉腔：to
臺北偏泉腔：to
宜蘭偏漳腔：to
臺南混合腔：tor
高雄混合腔：tor
金門偏泉腔：to
馬公偏泉腔：to
新竹偏泉腔：to
臺中偏漳腔：to",,,,,,,"1. (名詞) 供切、削、剪、刻、割、斬等用途的工具。
2. (量詞) 計算切割次數的單位。
3. (量詞) 計算紙張的單位；通常一百張為一刀。","1. 名詞
2. 量詞
3. 量詞","1. 鉸刀 (ka-to)
2. 伊昨暝去予人刣幾若刀。 (I tsa-mê khì hōo lâng thâi kuí-nā to.)
3. 伊欲買一刀紙。 (I beh bé tsi̍t to tsuá.)","1. 剪刀
2. 他昨晚被人砍了好幾刀。
3. 他想買一刀紙。","1. 50-1-1
2. 50-2-1
3. 50-3-1",1. 刀仔,,,
51,主詞目,刁,tiau,"心理狀態,待人處事",51(1),,,,,,,,,,,"1. (動詞) 刁難、為難。
2. (動詞) 故意。","1. 動詞
2. 動詞","1. 𪜶頭家真𠢕共人刁。 (In thâu-ke tsin gâu kā lâng tiau.)
2-1. 刁故意 (tiau-kòo-ì)
2-2. 刁工 (tiau-kang)","1. 他們的老闆很會為難人。
2-1. 故意
2-2. 故意","1. 51-1-1
2-1. 51-2-1
2-2. 51-2-2",1. 刁古董/刁難/為難/欹,,,
52,主詞目,力,la̍t(白),反應、表情,52(1),,,,,,,,,,,1. (名詞) 力量、氣力。,1. 名詞,"1. 無力 (bô-la̍t)
2. 氣力 (khuì-la̍t)","1. 沒有力氣
2. 力氣","1. 52-1-1
2. 52-1-2",1. 氣力,,,
53,主詞目,力,li̍k(文),事、物泛稱,53(1),,,,,,,,,,,"1. (名詞) 力量、氣力。
2. (名詞) 泛指一切事物所具有的效能或作用。","1. 名詞
2. 名詞","1. 力量 (li̍k-liōng)
2-1. 財力 (tsâi-li̍k)
2-2. 兵力 (ping-li̍k)","1. 力量
2-1. 財力
2-2. 兵力","1. 53-1-1
2-1. 53-2-1
2-2. 53-2-2",,,,
54,主詞目,十,tsa̍p(白),"性質、程度,數詞、量詞",54(1),,,,,,,,,,,"1. (數詞) 數目。
2. (形容詞) 比喻很多、完全。","1. 數詞
2. 形容詞","1. 十个人 (tsa̍p ê lâng)
2. 十喙九尻川 (tsa̍p-tshuì káu kha-tshng)","1. 十個人
2. 人多嘴雜","1. 54-1-1
2. 54-2-1",,,,
55,主詞目,十,si̍p(文),"性質、程度,數詞、量詞",55(1),,,,,,,,,,,"1. (數詞) 數字。
2. (形容詞) 比喻完全、非常。
3. (形容詞) 像十的字形的。","1. 數詞
2. 形容詞
3. 形容詞","1-1. 十五音 (si̍p-ngóo-im)
1-2. 十八仔 (si̍p-pat-á)
2. 十全十美 (si̍p-tsuân-si̍p-bí)
3-1. 十字路 (si̍p-jī-lōo)
3-2. 紅十字會 (Âng-si̍p-jī-huē)","1-1. 十五音
1-2. 骰子
2. 十分的完美
3-1. 十字路口
3-2. 國際救援組織","1-1. 55-1-1
1-2. 55-1-2
2. 55-2-1
3-1. 55-3-1
3-2. 55-3-2",,,,
56,主詞目,卜(替),poh,"宗族、家庭,心理活動,相關器具、活動",56(1),,,,,,,,,,,1. (動詞) 試試看。,1. 動詞,1. 卜看覓咧！ (Poh khuànn-māi--leh!),1. 試試看囉！,1. 56-1-1,,,,
57,主詞目,卜,pok,"宗族、家庭,心理活動,相關器具、活動",57(1),,,,,,,,,,,1. (動詞) 卜卦、占卜。,1. 動詞,1. 我來卜一下仔卦咧。 (Guá lâi pok tsi̍t-ē-á kuà--leh.),1. 我來卜一下卦。,1. 57-1-1,,,,
58,主詞目,又,iū,副詞,58(1),,,,,,,,,,,1. (副詞) 再、復。,1. 副詞,"1. 食又欲食，穡又毋做，真害！ (Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi!)",1. 吃又要吃，工作又不肯做，真糟糕！,1. 58-1-1,1. 閣,,,
59,主詞目,十一哥,tsa̍p-it-ko,"泛稱,性別、婚姻",59(1),,,,,,,,,,,1. (名詞) 單身漢。,1. 名詞,,,,1. 獨身/羅漢跤仔,,1. 獨身仔/羅漢跤,
60,主詞目,了了,liáu-liáu,"境況、狀態-擬事,副詞",60(1),,,,,,,,,,,1. (副詞) 光光、窮盡、完全沒有了。當作動詞補語。,1. 副詞,1. 鳥鼠予貓掠了了矣。 (Niáu-tshí hōo niau lia̍h-liáu-liáu--ah.),1. 老鼠被貓抓光光了。,1. 60-1-1,1. 了/空,,,
61,主詞目,了了,--liáu-liáu,"境況、狀態-擬事,副詞",61(1),,,,,,,,,,,1. (形容詞) 全都是。表示數量多或加強語氣。,1. 形容詞,"1. 這个袂使，彼个毋通，專你的意見了了。 (Tsit ê bē-sái, hit ê m̄-thang, tsuan lí ê ì-kiàn--liáu-liáu.)",1. 這個不行，那個不可以，你的意見真多。,1. 61-1-1,,,,
